"Step","biggestsupervised - validation/accuracy","biggestsupervised - validation/accuracy__MIN","biggestsupervised - validation/accuracy__MAX"
"199","0.3080802807308707","0.3080802807308707","0.3080802807308707"
"399","0.42166970180690505","0.42166970180690505","0.42166970180690505"
"599","0.4300486774651152","0.4300486774651152","0.4300486774651152"
"799","0.4380878214371334","0.4380878214371334","0.4380878214371334"
"999","0.4745557902091677","0.4745557902091677","0.4745557902091677"
"1199","0.4805844234645582","0.4805844234645582","0.4805844234645582"
"1399","0.4651399743255725","0.4651399743255725","0.4651399743255725"
"1599","0.484361834474419","0.484361834474419","0.484361834474419"
"1799","0.5103318665432155","0.5103318665432155","0.5103318665432155"
"1999","0.4929249760045902","0.4929249760045902","0.4929249760045902"
"2199","0.48586178858788004","0.48586178858788004","0.48586178858788004"
"2399","0.5142530448169915","0.5142530448169915","0.5142530448169915"
"2599","0.5156308735320715","0.5156308735320715","0.5156308735320715"
"2799","0.5224034002971993","0.5224034002971993","0.5224034002971993"
"2999","0.5439634632978199","0.5439634632978199","0.5439634632978199"
"3199","0.531587256421251","0.531587256421251","0.531587256421251"
"3399","0.5302083604172249","0.5302083604172249","0.5302083604172249"
"3599","0.5217383140260993","0.5217383140260993","0.5217383140260993"
"3799","0.5317096434775672","0.5317096434775672","0.5317096434775672"
"3999","0.5400060936001664","0.5400060936001664","0.5400060936001664"
"4199","0.5437454264947224","0.5437454264947224","0.5437454264947224"
"4399","0.5485847831202758","0.5485847831202758","0.5485847831202758"
"4599","0.5481159471863013","0.5481159471863013","0.5481159471863013"
"4799","0.5652298703520737","0.5652298703520737","0.5652298703520737"
"4999","0.5459716053215605","0.5459716053215605","0.5459716053215605"
"5199","0.5481052467538992","0.5481052467538992","0.5481052467538992"
"5399","0.5606460227002306","0.5606460227002306","0.5606460227002306"
"5599","0.5660572602860764","0.5660572602860764","0.5660572602860764"
"5799","0.556964061750832","0.556964061750832","0.556964061750832"
"5999","0.5685216511199621","0.5685216511199621","0.5685216511199621"
"6199","0.5564467295842911","0.5564467295842911","0.5564467295842911"
"6399","0.552130984915723","0.552130984915723","0.552130984915723"
"6599","0.5472597060220766","0.5472597060220766","0.5472597060220766"
"6799","0.5615593466087369","0.5615593466087369","0.5615593466087369"
"6999","0.5813785649378808","0.5813785649378808","0.5813785649378808"
"7146","0.5824521130172785","0.5824521130172785","0.5824521130172785"
