"Step","smallsupervisedfinal - validation/accuracy","smallsupervisedfinal - validation/accuracy__MIN","smallsupervisedfinal - validation/accuracy__MAX"
"499","0.357449171891772","0.357449171891772","0.357449171891772"
"999","0.37780834830997284","0.37780834830997284","0.37780834830997284"
"1499","0.39736966655676087","0.39736966655676087","0.39736966655676087"
"1999","0.4097116555620618","0.4097116555620618","0.4097116555620618"
"2499","0.43490634845559945","0.43490634845559945","0.43490634845559945"
"2999","0.4355025144779954","0.4355025144779954","0.4355025144779954"
"3499","0.44738080450407053","0.44738080450407053","0.44738080450407053"
"3999","0.4546149807823936","0.4546149807823936","0.4546149807823936"
"4499","0.4643264934812035","0.4643264934812035","0.4643264934812035"
"4999","0.46827295808783764","0.46827295808783764","0.46827295808783764"
"5499","0.48095345977308873","0.48095345977308873","0.48095345977308873"
"5999","0.4787171093678516","0.4787171093678516","0.4787171093678516"
"6499","0.49028339569706425","0.49028339569706425","0.49028339569706425"
"6999","0.48411464852961056","0.48411464852961056","0.48411464852961056"
"7499","0.49352106937385065","0.49352106937385065","0.49352106937385065"
"7999","0.4953918291056845","0.4953918291056845","0.4953918291056845"
"8499","0.48912570908691755","0.48912570908691755","0.48912570908691755"
"8999","0.5042835841454474","0.5042835841454474","0.5042835841454474"
"9499","0.5029492805697245","0.5029492805697245","0.5029492805697245"
"9999","0.5039184845579485","0.5039184845579485","0.5039184845579485"
"10499","0.5069519431181839","0.5069519431181839","0.5069519431181839"
"10989","0.5003380536406763","0.5003380536406763","0.5003380536406763"
